,density,mean_temperature,particle_size,ignition,wind_speed,heater_lead_angle,heater_count,heater_spacing,upstream_hot,downstream_hot,diffusivity,CELL,HCELL,LIGC,LIGH,LIGO,CTANN,TRIL
54,63.1578947368421,650.0,0.8,0.0,0.1,0.0,1,0.0,False,True,5.786982057115608e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
55,69.47368421052632,650.0,0.8,0.0,0.1,0.0,1,0.0,False,True,5.786982057115608e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
56,65.26315789473684,650.0,0.8,0.0,0.1,0.0,1,0.0,False,True,5.786982057115608e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
57,56.8421052631579,650.0,0.8,0.0,0.1,0.0,1,0.0,False,True,5.786982057115608e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
58,61.05263157894737,650.0,0.8,0.0,0.1,0.0,1,0.0,False,True,5.786982057115608e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
59,61.05263157894737,650.0,0.8,0.0,0.1,0.0,1,0.0,False,True,5.786982057115608e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
60,58.94736842105263,672.0694892503541,0.8,1.0,0.1,0.0,1,0.0,False,True,5.786982057115608e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
61,34.73684210526316,650.0,1.26,0.0,0.1,0.0,1,0.0,False,True,8.961104167078298e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
62,61.05263157894737,675.0,0.8,0.0,0.1,0.0,1,0.0,False,True,5.786982057115608e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
63,61.05263157894737,675.0,0.8,0.0,0.1,0.0,1,0.0,False,True,5.786982057115608e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
64,57.89473684210526,675.0,0.8,0.0,0.1,0.0,1,0.0,False,True,5.786982057115608e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
65,55.78947368421053,675.0,0.8,0.0,0.1,0.0,1,0.0,False,True,5.786982057115608e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
66,64.21052631578947,675.0,0.8,0.0,0.1,0.0,1,0.0,False,True,5.786982057115608e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
67,60.0,675.0,0.8,0.0,0.1,0.0,1,0.0,False,True,5.786982057115608e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
68,62.10526315789474,676.1474044048622,0.8,1.0,0.1,0.0,1,0.0,False,True,5.786982057115608e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
69,61.05263157894737,675.0,0.8,0.0,0.1,0.0,1,0.0,False,True,5.786982057115608e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
